<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;27.09.2018;14:40:00;116550;116570;116530;116550;513
SPFB.RTS-12.18;1;27.09.2018;14:41:00;116560;116660;116560;116640;1333
SPFB.RTS-12.18;1;27.09.2018;14:42:00;116640;116680;116610;116650;1314
SPFB.RTS-12.18;1;27.09.2018;14:43:00;116660;116810;116640;116710;3107
SPFB.RTS-12.18;1;27.09.2018;14:44:00;116720;116740;116640;116700;1435
SPFB.RTS-12.18;1;27.09.2018;14:45:00;116710;116740;116700;116720;335
SPFB.RTS-12.18;1;27.09.2018;14:46:00;116730;116740;116710;116730;324
SPFB.RTS-12.18;1;27.09.2018;14:47:00;116720;116730;116670;116670;1275
SPFB.RTS-12.18;1;27.09.2018;14:48:00;116670;116700;116600;116650;1238
SPFB.RTS-12.18;1;27.09.2018;14:49:00;116660;116710;116650;116700;1099
SPFB.RTS-12.18;1;27.09.2018;14:50:00;116700;116720;116660;116690;1232
SPFB.RTS-12.18;1;27.09.2018;14:51:00;116690;116730;116680;116690;383
SPFB.RTS-12.18;1;27.09.2018;14:52:00;116690;116700;116680;116690;325
SPFB.RTS-12.18;1;27.09.2018;14:53:00;116690;116700;116680;116680;92
SPFB.RTS-12.18;1;27.09.2018;14:54:00;116680;116740;116670;116730;594
SPFB.RTS-12.18;1;27.09.2018;14:55:00;116730;116780;116720;116770;869
SPFB.RTS-12.18;1;27.09.2018;14:56:00;116770;116850;116760;116760;2090
SPFB.RTS-12.18;1;27.09.2018;14:57:00;116760;116810;116750;116810;278
SPFB.RTS-12.18;1;27.09.2018;14:58:00;116810;116850;116790;116800;570
SPFB.RTS-12.18;1;27.09.2018;14:59:00;116810;116870;116790;116860;723
SPFB.RTS-12.18;1;27.09.2018;15:00:00;116860;116930;116810;116810;2529
SPFB.RTS-12.18;1;27.09.2018;15:01:00;116830;116900;116830;116900;597
SPFB.RTS-12.18;1;27.09.2018;15:02:00;116900;116920;116860;116900;721
SPFB.RTS-12.18;1;27.09.2018;15:03:00;116900;116920;116880;116880;814
SPFB.RTS-12.18;1;27.09.2018;15:04:00;116880;116880;116770;116770;1428
SPFB.RTS-12.18;1;27.09.2018;15:05:00;116780;116820;116770;116810;700
SPFB.RTS-12.18;1;27.09.2018;15:06:00;116810;116810;116760;116780;733
SPFB.RTS-12.18;1;27.09.2018;15:07:00;116790;116840;116780;116790;810
SPFB.RTS-12.18;1;27.09.2018;15:08:00;116790;116820;116770;116780;526
SPFB.RTS-12.18;1;27.09.2018;15:09:00;116800;116810;116780;116800;639
SPFB.RTS-12.18;1;27.09.2018;15:10:00;116800;116870;116800;116870;475
SPFB.RTS-12.18;1;27.09.2018;15:11:00;116870;116880;116820;116840;797
SPFB.RTS-12.18;1;27.09.2018;15:12:00;116850;116870;116830;116850;215
SPFB.RTS-12.18;1;27.09.2018;15:13:00;116850;116860;116810;116830;278
SPFB.RTS-12.18;1;27.09.2018;15:14:00;116820;116820;116770;116780;364
SPFB.RTS-12.18;1;27.09.2018;15:15:00;116780;116790;116760;116780;500
SPFB.RTS-12.18;1;27.09.2018;15:16:00;116770;116780;116750;116760;357
SPFB.RTS-12.18;1;27.09.2018;15:17:00;116760;116780;116740;116780;347
SPFB.RTS-12.18;1;27.09.2018;15:18:00;116780;116820;116770;116790;381
SPFB.RTS-12.18;1;27.09.2018;15:19:00;116770;116780;116730;116760;475
SPFB.RTS-12.18;1;27.09.2018;15:20:00;116750;116760;116710;116740;419
SPFB.RTS-12.18;1;27.09.2018;15:21:00;116750;116750;116670;116710;1153
SPFB.RTS-12.18;1;27.09.2018;15:22:00;116690;116710;116620;116640;1339
SPFB.RTS-12.18;1;27.09.2018;15:23:00;116630;116720;116630;116710;454
SPFB.RTS-12.18;1;27.09.2018;15:24:00;116710;116710;116630;116680;1044
SPFB.RTS-12.18;1;27.09.2018;15:25:00;116670;116730;116670;116690;208
SPFB.RTS-12.18;1;27.09.2018;15:26:00;116680;116750;116680;116710;869
SPFB.RTS-12.18;1;27.09.2018;15:27:00;116720;116740;116690;116700;299
SPFB.RTS-12.18;1;27.09.2018;15:28:00;116700;116750;116700;116740;168
SPFB.RTS-12.18;1;27.09.2018;15:29:00;116740;116770;116740;116760;215
SPFB.RTS-12.18;1;27.09.2018;15:30:00;116750;116760;116730;116740;368
